t,x,y,z,vx,vy,vz,ax,ay,az,total_mass,fuel_mass,drag_coeff,frontal_area,total_thrust,total_mfr
0.0,4509981.292287336,-14.99893833488022,4509879.879001023,0.0,0.0,0.0,-6.930612138498294,2.3049280551580027e-05,-6.930456293915451,41101.339665745705,22308.055905659465,0.19506364749596788,2.021871706746123,2198104.4208044107,574.7991100696431
100.0,4509981.391537432,-14.809515935788125,4509879.978221913,1.9850010128682631,3.7884462255364135,1.9844168770362072,19.849973624348845,37.8843920034217,19.84413227685349,41035.431694503124,22250.5759946525,0.19506364749596788,2.021871706746123,2198104.4208044107,574.7991100696431
200.0,4509981.689474998,-14.240984091012008,4509880.276071817,3.973747570324144,7.582185383626799,3.972578460686438,19.88737397005791,37.937215354329936,19.88152425915712,40977.95178349616,22193.096083645534,0.19506364749596788,2.021871706746123,2198104.4208044107,574.7991100696431
300.0,4509982.186474564,-13.292813824550153,4509880.772925181,5.966239148253266,11.38121110469811,5.964484227755171,19.924768651222692,37.98997427801364,19.91891058621871,40920.47187248919,22135.61617263857,0.19506364749596788,2.021871706746123,2198104.4208044107,574.7991100696431
400.0,4509982.882910603,-11.96447680300316,4509881.469156396,7.9624751671471,15.185516906880666,7.960133599669969,19.96215712298328,38.04266766966303,19.956290713347915,40862.99196148223,22078.136261631604,0.19506364749596788,2.021871706746123,2198104.4208044107,574.7991100696431
500.0,4509983.779157528,-10.255445346622272,4509882.36513979,9.962454993976415,18.995096199645683,9.959525944354368,19.99953885939684,38.0952944611717,19.99366411476585,40805.51205047526,22020.656350624642,0.19506364749596788,2.021871706746123,2198104.4208044107,574.7991100696431
600.0,4509984.875589686,-8.165192439990431,4509883.461249627,11.966177944104093,22.80994228751332,11.962660578140127,20.03691335382983,38.147853621838415,20.03103028399713,40748.0321394683,21963.176439617677,0.19506364749596788,2.021871706746123,2198104.4208044107,574.7991100696431
700.0,4509986.172581354,-5.693191742329019,4509884.757860101,13.973643283237084,26.630048373830704,13.969536767718596,20.07428011934802,38.200344159063874,20.068388734259837,40690.55222846133,21905.69652861071,0.19506364749596788,2.021871706746123,2198104.4208044107,574.7991100696431
800.0,4509987.670506733,-2.838917597423315,4509886.255345328,15.984850229417303,30.45540756461944,15.980153732131019,20.11163868910429,38.25276511904186,20.105738998853166,40633.072317454375,21848.21661760375,0.19506364749596788,2.021871706746123,2198104.4208044107,574.7991100696431
900.0,4509989.36973994,0.3981549568402465,4509887.954079345,17.99979795505121,34.28601287249201,17.994510644797515,20.14898861672394,38.30511558744483,20.143080631542674,40575.59240644741,21790.736706596785,0.19506364749596788,2.021871706746123,2198104.4208044107,574.7991100696431
