t,x,y,z,vx,vy,vz,ax,ay,az,total_mass,fuel_mass,drag_coeff,frontal_area,total_thrust,total_mfr
0.0,4509919.5075642895,-113.58618300745808,4509941.662861533,0.0,0.0,0.0,-6.930517192217196,0.00017455100757589188,-6.930551238871065,39676.82962843547,22722.184130410395,0.19359844405518928,1.9641766330221324,2321092.905227453,634.9089829476391
100.0,4509919.619662598,-113.37865631660637,4509941.774895968,2.2419650169433805,4.15053168533547,2.2406875387805347,22.419604455447057,41.50523158578682,22.406829700064506,39546.72454078439,22658.693232115627,0.19359844405518928,1.9641766330221324,2321092.905227453,634.9089829476391
200.0,4509919.956192817,-112.7557438145549,4509942.111234463,4.488635920701338,8.307711936376872,4.486078923502724,22.466594265631855,41.57158851290616,22.453799141143783,39483.23364248963,22595.202333820867,0.19359844405518928,1.9641766330221324,2321092.905227453,634.9089829476391
300.0,4509920.517625602,-111.71678086256844,4509942.67234747,6.74001402102738,12.471536362362542,6.736175465289553,22.513596572965007,41.63790051544598,22.500781093378922,39419.74274419486,22531.7114355261,0.19359844405518928,1.9641766330221324,2321092.905227453,634.9089829476391
400.0,4509921.3044317365,-110.26110326802483,4509943.458705569,8.996100559160565,16.642000432579216,8.990978406792662,22.560610704481377,41.70416621759951,22.547774884228577,39356.2518459001,22468.22053723134,0.19359844405518928,1.9641766330221324,2321092.905227453,634.9089829476391
500.0,4509922.317082123,-108.38804729816832,4509944.470779458,11.256896710418404,20.81909948121686,11.250488924783763,22.60763601342964,41.77038429260864,22.59477986735013,39292.76094760533,22404.729638936573,0.19359844405518928,1.9641766330221324,2321092.905227453,634.9089829476391
600.0,4509923.5560477795,-106.0969496933719,4509945.709039953,13.52240358685176,25.002828712331812,13.514708132808007,22.65467187989049,41.83655346384329,22.64179542321754,39229.27004931057,22341.238740641813,0.19359844405518928,1.9641766330221324,2321092.905227453,634.9089829476391
700.0,4509925.021799833,-103.38714767989794,4509947.173957975,15.792622239961549,29.1931832049177,15.783637083899121,22.70171771139281,41.90267250587501,22.688820959737207,39165.779151015806,22277.747842347046,0.19359844405518928,1.9641766330221324,2321092.905227453,634.9089829476391
800.0,4509926.71480951,-100.25797898214634,4509948.86600455,18.06755366347698,33.390157918083545,18.057276773356065,22.748772943527303,41.96874024554437,22.735855912861247,39102.288252721046,22214.256944052286,0.19359844405518928,1.9641766330221324,2321092.905227453,634.9089829476391
900.0,4509928.635548137,-96.70878183437961,4509950.785650799,20.34719879619513,37.5937476963384,20.335628141580976,22.795837040557416,42.03475556302162,22.782899747198133,39038.79735442628,22150.76604575752,0.19359844405518928,1.9641766330221324,2321092.905227453,634.9089829476391
1000.0,4509930.78448713,-92.73889499191411,4509952.933367936,22.63155852488152,41.803947274981766,22.61869207697807,22.842909496027374,42.100717392860005,22.829951956620345,38975.30645613152,22087.27514746276,0.19359844405518928,1.9641766330221324,2321092.905227453,634.9089829476391
1100.0,4509933.1620979905,-88.34765774176704,4509955.30962726,24.920633687231405,46.020751285599204,24.90646941891326,22.88998983336686,42.16662472504156,22.877012064868783,38911.81555783675,22023.78424916799,0.19359844405518928,1.9641766330221324,2321092.905227453,634.9089829476391
1200.0,4509935.768852303,-83.5344099127486,4509957.914900152,27.214425074891437,50.24415426166208,27.19896096073409,22.93707760649222,42.23247660601441,22.924079626153606,38848.32465954199,21960.29335087323,0.19359844405518928,1.9641766330221324,2321092.905227453,634.9089829476391
1300.0,4509938.605221727,-78.29849188498908,4509960.7496580705,29.512933436541335,54.47415064423088,29.496167452849647,22.98417240040388,42.298272139721654,22.971154225751388,38784.833761247224,21896.802452578464,0.19359844405518928,1.9641766330221324,2321092.905227453,634.9089829476391
1400.0,4509941.671677997,-72.63924459889031,4509963.814372547,31.816159481035164,58.71073478776099,31.79808960587005,23.03127383177967,42.364010488620785,23.018235480598086,38721.342862952464,21833.311554283704,0.19359844405518928,1.9641766330221324,2321092.905227453,634.9089829476391
1500.0,4509944.968692916,-66.5560095634917,4509967.109515182,34.12410388060182,62.95390096601012,34.10472809380513,23.07838154956389,42.42969087469367,23.065323039877786,38657.8519646577,21769.820655988937,0.19359844405518928,1.9641766330221324,2321092.905227453,634.9089829476391
1600.0,4509948.496738352,-60.048128864240184,4509970.635557641,36.436767274104255,67.20364337804631,36.416083557321784,23.125495235551615,42.495312580446075,23.112416585606756,38594.36106636294,21706.329757694177,0.19359844405518928,1.9641766330221324,2321092.905227453,634.9089829476391
1700.0,4509952.256286235,-53.11494517015468,4509974.3929716535,38.75415027035697,71.45995615435551,38.732156607059615,23.17261460496834,42.5608749498968,23.159515833212712,38530.87016806817,21642.83885939941,0.19359844405518928,1.9641766330221324,2321092.905227453,634.9089829476391
1800.0,4509956.247808554,-45.75580174037462,4509978.382229008,41.07625345150131,75.72283336304766,41.05294782700428,23.219739407044273,42.62637738955545,23.206620532108897,38467.37926977341,21579.34796110465,0.19359844405518928,1.9641766330221324,2321092.905227453,634.9089829476391
1900.0,4509960.471777358,-37.97004243008317,4509982.603801549,43.40307737643795,79.99226901616002,43.378457777918086,23.266869425583362,42.69181936938876,23.253730466262724,38403.88837147864,21515.857062809882,0.19359844405518928,1.9641766330221324,2321092.905227453,634.9089829476391
2000.0,4509964.928664749,-29.757011695795125,4509987.05816118,45.73462258431613,84.2682570760568,45.70868700082721,23.31400447952655,42.75720042377459,23.300845454758804,38340.39747318388,21452.366164515122,0.19359844405518928,1.9641766330221324,2321092.905227453,634.9089829476391
2100.0,4509969.61894288,-21.116054600000254,4509991.745779851,48.07088959807897,88.55079146192354,48.04363602056506,23.36114442350916,42.82252015244363,23.347965352356,38276.906574889115,21388.875266220355,0.19359844405518928,1.9641766330221324,2321092.905227453,634.9089829476391
2200.0,4509974.54308396,-12.04651681515239,4509996.667129572,50.41187892806431,92.83986605635525,50.38330534937103,23.408289148411956,42.88777822140771,23.395090050038228,38213.415676594355,21325.384367925595,0.19359844405518928,1.9641766330221324,2321092.905227453,634.9089829476391
2300.0,4509979.701560245,-2.5477446269951294,4510001.8226823965,52.757591075660386,97.1354747120368,52.72769549054415,23.4554385819059,42.95297436387495,23.442219475558904,38149.92477829959,21261.893469630828,0.19359844405518928,1.9641766330221324,2321092.905227453,634.9089829476391
2400.0,4509985.094844042,7.380915062785078,4510007.212910433,55.10802653701573,101.43761125851422,55.07680694215093,23.50259268898996,43.018108381150554,23.489353593978514,38086.43388000483,21198.402571336068,0.19359844405518928,1.9641766330221324,2321092.905227453,634.9089829476391
2500.0,4509990.723407708,17.740114734587458,4510012.838285837,57.46318580680261,105.74626950905561,57.43064020078665,23.549751472522114,43.08318014352352,23.536492408195322,38022.94298171006,21134.9116730413,0.19359844405518928,1.9641766330221324,2321092.905227453,634.9089829476391
2600.0,4509996.587723649,28.530506249615954,4510018.699280815,59.82306938203326,110.06144326759991,59.789195765389444,23.596914973743,43.148189591138184,23.58363595946875,37959.4520834153,21071.42077474654,0.19359844405518928,1.9641766330221324,2321092.905227453,634.9089829476391
2700.0,4510002.688264321,39.752740849297474,4510024.796367623,62.18767776592816,114.38312633579244,62.152474141106474,23.644083272792088,43.213136734850536,23.630784327935277,37895.96118512053,21007.929876451773,0.19359844405518928,1.9641766330221324,2321092.905227453,634.9089829476391
