t,x,y,z,vx,vy,vz,ax,ay,az,total_mass,fuel_mass,drag_coeff,frontal_area,total_thrust,total_mfr
0.0,4509962.18099853,17.114354143955413,4509898.9906310635,0.0,0.0,0.0,-6.930582769655804,-2.630009813466404e-05,-6.930485663282315,40080.76942147977,23471.86469917396,0.20551318719786066,2.0739969097447695,2262008.466875475,598.4640332255728
100.0,4509962.287797012,17.314413065197343,4509899.097446961,2.13596847866169,4.001176237605984,2.136316805882766,21.35963841022408,40.0116748871347,21.363121674813787,39975.67519681422,23412.018295851405,0.20551318719786066,2.0739969097447695,2262008.466875475,598.4640332255728
200.0,4509962.608403841,17.914888465484506,4509899.418106064,4.276164605017099,8.008325183258641,4.276861764859563,21.40184486009879,40.071269941268355,21.405333167191554,39915.82879349167,23352.171892528844,0.20551318719786066,2.0739969097447695,2262008.466875475,598.4640332255728
300.0,4509963.143241715,18.916377190881853,4509899.953031121,6.420587034136295,12.021438309610733,6.42163353121316,21.444037291113304,40.13077875003939,21.44753063275224,39855.98239016911,23292.32548920629,0.20551318719786066,2.0739969097447695,2262008.466875475,598.4640332255728
400.0,4509963.892733194,20.31947522709051,4509900.702644742,8.569234343923956,16.040506937539277,8.570630682047671,21.48621494398718,40.190199819956334,21.48971331208487,39796.13598684655,23232.47908588373,0.20551318719786066,2.0739969097447695,2262008.466875475,598.4640332255728
500.0,4509964.857300693,22.12477768451175,4509901.667369393,10.722105037660484,20.06552224099231,10.72385171983009,21.52837708511647,40.249531706465355,21.5318804714592,39736.28958352399,23172.632682561176,0.20551318719786066,2.0739969097447695,2262008.466875475,598.4640332255728
600.0,4509966.037366473,24.332878783800687,4509902.847627383,12.879197546600244,24.09647525193655,12.881295074988959,21.570523007143,40.308773014955015,21.57403140339514,39676.443180201444,23112.786279238615,0.20551318719786066,2.0739969097447695,2262008.466875475,598.4640332255728
700.0,4509967.433352633,26.9443718419198,4509904.243840864,15.040510232626648,28.1333568654053,15.042959108569894,21.61265202952071,40.36792240175382,21.616165427229134,39616.59677687888,23052.93987591606,0.20551318719786066,2.0739969097447695,2262008.466875475,598.4640332255728
800.0,4509969.045681108,29.959849258702167,4509905.856431819,17.20604139096376,32.17615784464579,17.20884211494764,21.65476349907854,40.4269785751198,21.65828188967715,39556.75037355632,22993.0934725935,0.20551318719786066,2.0739969097447695,2262008.466875475,598.4640332255728
900.0,4509970.874773656,33.379902503934424,4509907.685822058,19.375789252944088,36.22486882636524,19.378942324594313,21.696856790579872,40.48594029622212,21.700380165394222,39496.90397023376,22933.247069270947,0.20551318719786066,2.0739969097447695,2262008.466875475,598.4640332255728
1000.0,4509972.921051858,37.205122104969206,4509909.732433209,21.54975198883216,40.279480326074655,21.553257906903458,21.738931307278104,40.544806380113904,21.74245965753009,39437.057566911215,22873.400665948386,0.20551318719786066,2.0739969097447695,2262008.466875475,598.4640332255728
1100.0,4509975.184937107,41.43609763487683,4509911.9966867175,23.72792771070356,44.33998274352967,23.73178697306954,21.78098648146817,40.603575696695856,21.784519798280808,39377.211163588654,22813.554262625832,0.20551318719786066,2.0739969097447695,2262008.466875475,598.4640332255728
1200.0,4509977.666850606,46.07341770114588,4509914.479003835,25.910314475378932,48.40636636826728,25.914527579022437,21.823021775033713,40.66224717167028,21.826560049436,39317.36476026609,22753.70785930327,0.20551318719786066,2.0739969097447695,2262008.466875475,598.4640332255728
1300.0,4509980.36721336,51.11766993494219,4509917.179805616,28.096910287412527,52.47862138523766,28.101477728416487,21.86503667998967,40.72081978748511,21.868579902921525,39257.51835694353,22693.861455980717,0.20551318719786066,2.0739969097447695,2262008.466875475,598.4640332255728
1400.0,4509983.286446172,56.569440980935795,4509920.099512913,30.28771310213486,56.5567378805299,30.29263537567363,21.907030719020018,40.77929258426721,21.91057888133729,39197.671953620986,22634.015052658156,0.20551318719786066,2.0739969097447695,2262008.466875475,598.4640332255728
1500.0,4509986.424969638,62.42931648770501,4509923.238546373,32.482720828748924,60.6407058471907,32.487998429080136,21.949003446010458,40.83766466074486,21.95255653849008,39137.825550298425,22574.168649335603,0.20551318719786066,2.0739969097447695,2262008.466875475,598.4640332255728
1600.0,4509989.783204143,68.69788109872705,4509926.5973264305,34.68193133347948,64.73051519113477,34.687564753936414,21.990954446575735,40.89593517515858,21.994512459920827,39077.979146975864,22514.322246013042,0.20551318719786066,2.0739969097447695,2262008.466875475,598.4640332255728
1700.0,4509993.361569857,75.37571844396423,4509930.176273303,36.88534244277486,68.82615573714587,36.891332175759324,22.032883338581268,40.954103346160146,22.036446263426466,39018.1327436533,22454.47584269049,0.20551318719786066,2.0739969097447695,2262008.466875475,598.4640332255728
1800.0,4509997.160486732,82.46341113205473,4509933.975806992,39.09295194656071,72.92761723496724,39.099298483536444,22.074789772659102,41.01216845369919,22.078357599575863,38958.28634033076,22394.629439367927,0.20551318719786066,2.0739969097447695,2262008.466875475,598.4640332255728
1900.0,4510001.180374494,89.96154074311677,4509937.996347273,41.30475760154504,77.03488936548021,41.31146143303171,22.11667343271764,41.070129839897035,22.120246152219647,38898.439937008196,22334.783036045374,0.20551318719786066,2.0739969097447695,2262008.466875475,598.4640332255728
2000.0,4510005.421652646,97.87068782217514,4509942.238313697,43.52075713457409,81.14796174696946,43.52781875014175,22.158534036444994,41.12798690990706,22.162111638993665,38838.593533685635,22274.936632722813,0.20551318719786066,2.0739969097447695,2262008.466875475,598.4640332255728
2100.0,4510009.884740461,106.1914318732184,4509946.7021255875,45.740948246038165,85.26682394147396,45.74836813430233,22.200371335805897,41.18573913276162,22.203953811815914,38778.747130363074,22215.09022940026,0.20551318719786066,2.0739969097447695,2262008.466875475,598.4640332255728
2200.0,4510014.5700569805,114.92435135389546,4509951.388202035,47.96532861332694,89.39146546122187,47.9731072619442,22.242185117531566,41.243386042204556,22.24577245737653,38718.90072704053,22155.243826077698,0.20551318719786066,2.0739969097447695,2262008.466875475,598.4640332255728
2300.0,4510019.4780210145,124.0700236708598,4509956.296961897,50.193895894333444,93.52187577514812,50.20203378999763,22.283975203602733,41.300927237509384,22.28756739762085,38659.054323717966,22095.397422755144,0.20551318719786066,2.0739969097447695,2262008.466875475,598.4640332255728
2400.0,4510024.609051137,133.62902517576947,4509961.428823796,52.42664773100604,97.65804431549313,52.435145359444995,22.325741451725087,41.358362384282216,22.329338490224966,38599.207920395405,22035.551019432583,0.20551318719786066,2.0739969097447695,2262008.466875475,598.4640332255728
2500.0,4510029.963565685,143.60193116195106,4509966.784206118,54.66358175294766,101.79996048448118,54.67243959892056,22.367483755797384,41.4156912152494,22.371085629063828,38539.361517072844,21975.70461611003,0.20551318719786066,2.0739969097447695,2262008.466875475,598.4640332255728
2600.0,4510035.541982758,153.98931586173526,4509972.363527012,56.90469558106146,105.94761366107687,56.91391412835676,22.409202046371636,41.47291353102935,22.412808744671583,38479.5151137503,21915.85821278747,0.20551318719786066,2.0739969097447695,2262008.466875475,598.4640332255728
2700.0,4510041.344720218,164.79175244447214,4509978.1672043875,59.14998683124226,110.10099320781808,59.15956656267618,22.45089629110533,41.53002920088796,22.454507804693808,38419.66871042774,21856.011809464915,0.20551318719786066,2.0739969097447695,2262008.466875475,598.4640332255728
2800.0,4510047.37219569,176.00981301523322,4509984.195655916,61.39945311811277,114.26008847772364,61.40939451552844,22.492566495205388,41.587038163477594,22.49618281433155,38359.822307105176,21796.165406142354,0.20551318719786066,2.0739969097447695,2262008.466875475,598.4640332255728
2900.0,4510053.624826556,187.64406861420815,4509990.44929903,63.65309205880386,118.42488882127428,63.66339560307103,22.53421270186361,41.643940427558746,22.537833816776853,38299.975903782615,21736.3190028198,0.20551318719786066,2.0739969097447695,2262008.466875475,598.4640332255728
3000.0,4510060.1030299645,199.69508921680307,4509996.928550925,65.91090127677806,122.5953835934649,65.92156744779345,22.575834992683518,41.70073607270456,22.57946089363959,38240.12950046007,21676.47259949724,0.20551318719786066,2.0739969097447695,2262008.466875475,598.4640332255728
3100.0,4510066.807222825,212.1634437344476,4510003.633828558,68.17287840569531,126.77156216092658,68.18390768238355,22.61743348809822,41.75742524998735,22.621064165365475,38180.28309713751,21616.626196174686,0.20551318719786066,2.0739969097447695,2262008.466875475,598.4640332255728
3200.0,4510073.73782181,225.04970001611755,4510010.565548651,70.43902109332011,130.9534139091163,70.4504139536353,22.659008347779093,41.81400818264696,22.66264379164476,38120.43669381495,21556.779792852125,0.20551318719786066,2.0739969097447695,2262008.466875475,598.4640332255728
3300.0,4510080.895243361,238.3544248505798,4510017.724127691,72.70932700546912,135.1409282495729,72.72108392639713,22.700559771035223,41.870485166740536,22.70419997181172,38060.590290492386,21496.93338952957,0.20551318719786066,2.0739969097447695,2262008.466875475,598.4640332255728
