t,x,y,z,vx,vy,vz,ax,ay,az,total_mass,fuel_mass,drag_coeff,frontal_area,total_thrust,total_mfr
0.0,4509910.751633937,-100.8713207650712,4509950.419034183,0.0,0.0,0.0,-6.930503736738503,0.00015501172949792738,-6.930564694722103,41337.36682091038,21487.355438504954,0.2063551303791429,2.0010526384764575,2096348.4498650539,631.6015804777571
100.0,4509910.849964629,-100.68324427797687,4509950.517383479,1.9666128610072684,3.7615278558906216,1.966984938165183,19.666089470795345,37.61520311936947,19.669810234914934,39407.654613465245,21424.195280457177,0.2063551303791429,2.0010526384764575,2096348.4498650539,631.6015804777571
200.0,4509911.145169596,-100.1187140306952,4509950.812644287,3.937483529299766,7.529071410246781,3.938228288456301,19.708608411431374,37.675246208628764,19.71233521269554,39344.494455417465,21361.0351224094,0.2063551303791429,2.0010526384764575,2096348.4498650539,631.6015804777571
300.0,4509911.637674712,-99.17712862630573,4509951.305242542,5.91261383770892,11.302627174215143,5.913731883391849,19.75114515668773,37.735253503014455,19.75487799187705,39281.334297369685,21297.874964361625,0.2063551303791429,2.0010526384764575,2096348.4498650539,631.6015804777571
400.0,4509912.327906028,-97.85788702297944,4509951.995604359,7.89200556171912,15.082191535407592,7.893497498131126,19.79369914173197,37.795223784878274,19.79743800750721,39218.17413932191,21234.714806313852,0.2063551303791429,2.0010526384764575,2096348.4498650539,631.6015804777571
500.0,4509913.216289775,-96.1603885461507,4509952.884156024,9.875660421345621,18.867760761545977,9.877526852352505,19.836269820726613,37.85515587341025,19.840014713632367,39155.01398127414,21171.554648266076,0.2063551303791429,2.0010526384764575,2096348.4498650539,631.6015804777571
600.0,4509914.303252351,-94.08403290032041,4509953.971323998,11.863580083059553,22.659331004191387,11.865821612178802,19.878856667299427,37.91504862548177,19.882607583767847,39091.85382322637,21108.3944902183,0.2063551303791429,2.0010526384764575,2096348.4498650539,631.6015804777571
700.0,4509915.589220315,-91.62822018048207,4509955.257534901,13.855766161759986,26.456898302557686,13.858383392149728,19.92145917501323,37.974900936486186,19.925216111367817,39028.69366517859,21045.234332170527,0.2063551303791429,2.0010526384764575,2096348.4498650539,631.6015804777571
800.0,4509917.07462039,-88.79235088316229,4509956.743215514,15.852220222792994,30.260458587409076,15.855213757241327,19.964076857834932,38.034711741176444,19.967839810294453,38965.53350713081,20982.07417412275,0.2063551303791429,2.0010526384764575,2096348.4498650539,631.6015804777571
900.0,4509918.759879451,-85.57582591706722,4509958.428792774,17.852943784017636,34.070007685041354,17.856314224932362,20.006709250603777,38.09448001449967,20.010478215286216,38902.373349083035,20918.914016074974,0.2063551303791429,2.0010526384764575,2096348.4498650539,631.6015804777571
