t,x,y,z,vx,vy,vz,ax,ay,az,total_mass,fuel_mass,drag_coeff,frontal_area,total_thrust,total_mfr
0.0,4509960.363231654,30.811733844555466,4509900.808349896,0.0,0.0,0.0,-6.930579976243518,-4.734923777986475e-05,-6.930488456620781,40273.29655097199,22468.325278667842,0.2010634528737303,1.970914862229685,2138109.216322039,633.1915340953325
100.0,4509960.462313874,31.0008014189462,4509900.907444627,1.981643449229322,3.781349682962981,1.9818936855713871,19.81639696317009,37.81342463584749,19.81889932180919,39974.76128898304,22405.00612525831,0.2010634528737303,1.970914862229685,2138109.216322039,633.1915340953325
200.0,4509960.759772137,31.568303011314935,4509901.204940445,3.9675189940206383,7.568676729526141,3.9680198477443644,19.858661224347525,37.87308928541697,19.86116738616469,39911.44213557351,22341.686971848776,0.2010634528737303,1.970914862229685,2138109.216322039,633.1915340953325
300.0,4509961.256029759,32.514836216804746,4509901.701260702,5.957628714035339,11.361978286690618,5.958380565944312,19.900945786548704,37.93272454867135,19.903455749127794,39848.12298216397,22278.36781843924,0.2010634528737303,1.970914862229685,2138109.216322039,633.1915340953325
400.0,4509961.951510259,33.84099833951435,4509902.396828956,7.951974636270629,15.16125138713773,7.952977866924766,19.94325013154516,37.99232929955807,19.945763892394567,39784.80382875444,22215.04866502971,0.2010634528737303,1.970914862229685,2138109.216322039,633.1915340953325
500.0,4509962.846637357,35.547386381242646,4509903.292068965,9.950558736893228,18.96649295277165,9.95181372660135,19.985573759650865,38.051902447822144,19.988091316205885,39721.48467534491,22151.72951162018,0.2010634528737303,1.970914862229685,2138109.216322039,633.1915340953325
600.0,4509963.9418349685,37.63459703059153,4509904.387404682,11.953382943117962,22.777699798342425,11.954890071930606,20.027916190170377,38.11144293980756,20.030437539795635,39658.16552193537,22088.410358210644,0.2010634528737303,1.970914862229685,2138109.216322039,633.1915340953325
700.0,4509965.237527198,40.103226652435026,4509905.683260251,13.960449135131187,26.5948686351491,13.962208782833669,20.070276961846375,38.17094975925589,20.0728021018383,39594.84636852584,22025.09120480111,0.2010634528737303,1.970914862229685,2138109.216322039,633.1915340953325
800.0,4509966.734138337,42.95387127776274,4509907.180059999,15.971759148058991,30.417996074822625,15.97377169416471,20.112655633306403,38.23042192810209,20.115184560895766,39531.52721511631,21961.772051391577,0.2010634528737303,1.970914862229685,2138109.216322039,633.1915340953325
900.0,4509968.432092858,46.18712659390553,4509908.878228438,17.98731477398007,34.247078633188295,17.989580597724082,20.155051783508696,38.28985850726692,20.157584495863176,39468.20806170678,21898.452897982046,0.2010634528737303,1.970914862229685,2138109.216322039,633.1915340953325
1000.0,4509970.3318154095,49.80358793515148,4509910.778190255,20.007117763983178,38.082112734207335,20.00963724431601,20.19746501218677,38.34925859744583,20.2000015064136,39404.888908297246,21835.13374457251,0.2010634528737303,1.970914862229685,2138109.216322039,633.1915340953325
1100.0,4509972.433730816,53.80385027375984,4509912.880370311,22.031169830269032,41.92309471399727,22.033943345850787,20.23989494029287,38.40862133989394,20.242435213441514,39341.56975488771,21771.814591162976,0.2010634528737303,1.970914862229685,2138109.216322039,633.1915340953325
1200.0,4509974.738264068,58.188508211381084,4509915.185193636,24.059472648296552,45.770020824930704,24.062500577491264,20.282341210439824,38.46794591720673,20.284885259504716,39278.250601478176,21708.495437753445,0.2010634528737303,1.970914862229685,2138109.216322039,633.1915340953325
1300.0,4509977.245840325,62.958155970890616,4509917.6930854255,26.09202785897324,49.62288723981198,26.09531057984352,20.324803487341313,38.52723155409636,20.32735130926465,39214.931448068644,21645.176284343914,0.2010634528737303,1.970914862229685,2138109.216322039,633.1915340953325
1400.0,4509979.956884906,68.1133873886441,4509920.404471037,28.12883707088957,53.4816900561314,28.132374961191523,20.367281458250403,38.58647751816298,20.36983304992497,39151.612294659106,21581.85713093438,0.2010634528737303,1.970914862229685,2138109.216322039,633.1915340953325
1500.0,4509982.871823291,73.65479590716201,4509923.319775989,30.16990186259718,57.346425300396334,30.173695299775613,20.409774833395968,38.645683120660834,20.412330191668026,39088.293141249575,21518.537977524844,0.2010634528737303,1.970914862229685,2138109.216322039,633.1915340953325
1600.0,4509985.991081117,79.5829745682512,4509926.439425955,32.21522378493065,61.217088932538836,32.21927314611458,20.452283346417126,38.7048477172591,20.45484246808936,39024.97398784004,21455.218824115313,0.2010634528737303,1.970914862229685,2138109.216322039,633.1915340953325
1700.0,4509989.315084172,85.89851600657094,4509929.763846762,34.26480436337268,65.0936768503991,34.26911002537112,20.49480675479518,38.763970708796634,20.497369636629692,38961.65483443051,21391.89967070578,0.2010634528737303,1.970914862229685,2138109.216322039,633.1915340953325
1800.0,4509992.8442584,92.60201244365115,4509933.29346439,36.3186451004624,68.97618489428422,36.323207439760445,20.537344840283314,38.82305154203081,20.53991147900463,38898.33568102098,21328.580517296246,0.2010634528737303,1.970914862229685,2138109.216322039,633.1915340953325
1900.0,4509996.579029889,99.69405568237016,4509937.028704966,38.37674747824651,72.86460885160152,38.38156687100177,20.57989740933338,38.88208971037972,20.58246780163156,38835.01652761144,21265.26136388671,0.2010634528737303,1.970914862229685,2138109.216322039,633.1915340953325
